time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451450000	9.19038	20.8145	4.68219	3.3808	0.51782	radar	1.47854	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89823	20.7799	4.779	3.39456	0.505341	lidar	2.38009	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68448	20.702	4.75579	3.42637	0.511834	radar	4.33864	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40735	20.6176	4.83102	3.45301	0.511593	lidar	2.80628	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17986	20.5382	4.83234	3.48016	0.513776	radar	0.0478459	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93692	20.4574	4.85575	3.50355	0.511339	lidar	0.153654	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72037	20.3728	4.86016	3.53215	0.518597	radar	3.38273	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41343	20.3116	4.9737	3.5373	0.498086	lidar	3.68988	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18398	20.2146	4.96604	3.55984	0.493838	radar	0.272285	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91927	20.1303	5.01681	3.57325	0.48289	lidar	0.84475	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69779	20.0376	4.99179	3.59091	0.474298	radar	0.625438	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44892	19.9452	5.02163	3.60512	0.465295	lidar	0.490856	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.23547	19.8511	4.99592	3.62255	0.459435	radar	2.94702	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.97178	19.7563	5.04819	3.6316	0.446156	lidar	1.07987	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.74093	19.6137	5.09276	3.66286	0.458684	radar	1.68874	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.56144	19.4925	5.03399	3.68993	0.463232	lidar	1.30945	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35968	19.3447	5.02931	3.72004	0.470504	radar	1.65928	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14622	19.2427	5.01664	3.73148	0.459779	lidar	2.07565	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95942	19.129	4.94744	3.74586	0.447507	radar	4.77554	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79277	18.9804	4.90364	3.77669	0.455826	lidar	0.587529	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.5839	18.831	4.93821	3.79952	0.458311	radar	1.49926	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
